Business Year,State,Insurer ID,Price Gap,Price Gap (Previous Year),Market Share (%),Market Share (%) (Previous Year),Medicaid Expansion Impact,Medicaid Expansion Impact (Previous Year),Plan Count,Plan Count (Previous Year),Market Exit
2025,Delaware,72760,-6,-6,0.172995781,0.104166667,1.291813871,1.291813871,41,30,0
2023,Delaware,76168,-6,,0.454545455,,1.291813871,,75,,0
2024,Delaware,76168,-6,-6,0.274305556,0.454545455,1.291813871,1.291813871,79,75,0
2025,Delaware,76168,-6,-6,0.333333333,0.274305556,1.291813871,1.291813871,79,79,0
2026,Delaware,,-6,,,,1.291813871,,0,,0
2023,District of Columbia,,-45,,,,7.970596115,,0,,1
2024,District of Columbia,,-45,,,,7.970596115,,0,,1
2025,District of Columbia,,-45,,,,7.970596115,,0,,0
2026,District of Columbia,,-45,,,,7.970596115,,0,,0
2023,Florida,15833,-9,,0.003756574,,0,,10,,0
2024,Florida,15833,-9,-9,0.004918839,0.003756574,0,0,10,10,0
2025,Florida,15833,-9,-9,0.005186722,0.004918839,0,0,10,10,0
2023,Florida,15980,-9,,0.002253944,,0,,6,,0
2024,Florida,15980,-9,-9,0.002951303,0.002253944,0,0,6,6,0
2025,Florida,15980,-9,-9,0.003112033,0.002951303,0,0,6,6,0
2023,Florida,16842,-9,,0.060105184,,0,,160,,0
2024,Florida,16842,-9,-9,0.063944909,0.060105184,0,0,130,160,0
2025,Florida,16842,-9,-9,0.080912863,0.063944909,0,0,156,130,0
2023,Florida,17121,-9,,0.003005259,,0,,8,,0
2024,Florida,17121,-9,-9,0.003935071,0.003005259,0,0,8,8,0
2025,Florida,17121,-9,-9,0.004149378,0.003935071,0,0,8,8,0
2023,Florida,18628,-9,,0.07513148,,0,,200,,0
2024,Florida,18628,-9,-9,0.023610428,0.07513148,0,0,48,200,0
2025,Florida,18628,-9,-9,0.034751037,0.023610428,0,0,67,48,0
2023,Florida,19898,-9,,0.17918858,,0,,477,,0
2024,Florida,19898,-9,-9,0.229709788,0.17918858,0,0,467,477,0
2025,Florida,19898,-9,-9,0.171680498,0.229709788,0,0,331,467,0
2023,Florida,21663,-9,,0.09541698,,0,,254,,0
2024,Florida,21663,-9,-9,0.11805214,0.09541698,0,0,240,254,1
2023,Florida,30115,-9,,0.003005259,,0,,8,,0
2024,Florida,30115,-9,-9,0.003935071,0.003005259,0,0,8,8,0
2025,Florida,30115,-9,-9,0.004149378,0.003935071,0,0,8,8,0
2023,Florida,30219,-9,,0.000375657,,0,,1,,0
2024,Florida,30219,-9,-9,0.000491884,0.000375657,0,0,1,1,1
2023,Florida,30252,-9,,0.140871525,,0,,375,,0
2024,Florida,30252,-9,-9,0.149040826,0.140871525,0,0,303,375,0
2025,Florida,30252,-9,-9,0.205912863,0.149040826,0,0,397,303,0
2023,Florida,36194,-9,,0.045078888,,0,,120,,0
2024,Florida,36194,-9,-9,0.04525332,0.045078888,0,0,92,120,0
2025,Florida,36194,-9,-9,0.055497925,0.04525332,0,0,107,92,0
2023,Florida,40572,-9,,0.101427498,,0,,270,,0
2024,Florida,40572,-9,-9,0.065912445,0.101427498,0,0,134,270,0
2025,Florida,40572,-9,-9,0.059128631,0.065912445,0,0,114,134,0
2023,Florida,43274,-9,,0.002253944,,0,,6,,0
2024,Florida,43274,-9,-9,0.002951303,0.002253944,0,0,6,6,0
2025,Florida,43274,-9,-9,0.003112033,0.002951303,0,0,6,6,0
2025,Florida,44228,-9,,0.032157676,,0,,62,,0
2023,Florida,48121,-9,,0.047332832,,0,,126,,0
2024,Florida,48121,-9,-9,0.034431874,0.047332832,0,0,70,126,0
2025,Florida,48121,-9,-9,0.026452282,0.034431874,0,0,51,70,0
2023,Florida,48129,-9,,0.003756574,,0,,10,,0
2024,Florida,48129,-9,-9,0.004918839,0.003756574,0,0,10,10,0
2025,Florida,48129,-9,-9,0.005186722,0.004918839,0,0,10,10,0
2025,Florida,49004,-9,,0.100622407,,0,,194,,0
2023,Florida,54172,-9,,0.018031555,,0,,48,,0
2024,Florida,54172,-9,-9,0.027053615,0.018031555,0,0,55,48,0
2025,Florida,54172,-9,-9,0.028526971,0.027053615,0,0,55,55,0
2023,Florida,56503,-9,,0.077385424,,0,,206,,0
2024,Florida,56503,-9,-9,0.08165273,0.077385424,0,0,166,206,0
2025,Florida,56503,-9,-9,0.06846473,0.08165273,0,0,132,166,0
2023,Florida,59667,-9,,0.002253944,,0,,6,,0
2024,Florida,59667,-9,-9,0.002951303,0.002253944,0,0,6,6,0
2025,Florida,59667,-9,-9,0.003112033,0.002951303,0,0,6,6,0
2023,Florida,66966,-9,,0.011269722,,0,,30,,0
2024,Florida,66966,-9,-9,0.014756517,0.011269722,0,0,30,30,0
2025,Florida,66966,-9,-9,0.015560166,0.014756517,0,0,30,30,0
2023,Florida,67926,-9,,0.007137491,,0,,19,,0
2024,Florida,67926,-9,-9,0.014756517,0.007137491,0,0,30,19,0
2025,Florida,67926,-9,-9,0.02126556,0.014756517,0,0,41,30,0
2023,Florida,68398,-9,,0.040195342,,0,,107,,0
2024,Florida,68398,-9,-9,0.040334481,0.040195342,0,0,82,107,0
2025,Florida,68398,-9,-9,0.038381743,0.040334481,0,0,74,82,0
2024,Florida,74243,-9,,0.005902607,,0,,12,,0
