State Abbreviation,State Name,Reporting Period,Original or Updated,Beneficiaries with a Renewal Initiated,Beneficiaries with a Renewal Initiated - footnotes,Beneficiaries with a Renewal Due,Beneficiaries with a Renewal Due - footnotes,Beneficiaries Whose Coverage Was Renewed (Total),Beneficiaries Whose Coverage Was Renewed (Total) - footnotes,Beneficiaries Whose Coverage Was Renewed on an Ex Parte Basis,Beneficiaries Whose Coverage Was Renewed on an Ex Parte Basis - footnotes,Beneficiaries Whose Coverage Was Renewed based on a Renewal Form,Beneficiaries Whose Coverage Was Renewed based on a Renewal Form - footnotes,Beneficiaries Disenrolled at Renewal (Total),Beneficiaries Disenrolled at Renewal (Total) - footnotes,Beneficiaries Determined Ineligible at Renewal,Beneficiaries Determined Ineligible at Renewal - footnotes,Beneficiaries Disenrolled for Procedural Reasons at Renewal,Beneficiaries Disenrolled for Procedural Reasons at Renewal - footnotes,Beneficiaries with a Pending Renewal,Beneficiaries with a Pending Renewal - footnotes
AL,Alabama,202310,O,103109,,104021,,67958,,39168,,28790,,32823,,3888,,28935,,3240,
AL,Alabama,202310,U,,,104021,,69994,,39256,,30738,,34011,,4562,,29449,,16,
AL,Alabama,202311,O,86352,,94633,,61893,,33338,,28555,,29765,,3472,,26293,,2975,
AL,Alabama,202311,U,,,94633,,63556,,33338,,30218,,30857,,3989,,26868,,220,
AL,Alabama,202312,O,85889,,103109,,67036,,40593,,26443,,33465,,3998,,29467,,2608,
AL,Alabama,202312,U,,,103109,,68551,,40593,,27958,,34383,,4502,,29881,,175,
AL,Alabama,202401,O,86545,,86352,,57420,,34533,,22887,,26667,,3399,,23268,,2265,
AL,Alabama,202401,U,,,86352,,58602,,34533,,24069,,27603,,3840,,23763,,147,
AL,Alabama,202402,O,81573,,85889,,57468,,35228,,22240,,26196,,3328,,22868,,2225,
AL,Alabama,202402,U,,,85889,,58647,,35228,,23419,,27119,,3788,,23331,,123,
AL,Alabama,202403,O,73603,,86545,,50663,,30154,,20509,,33549,,3926,,29623,,2333,
AL,Alabama,202403,U,,,86545,,51903,,30154,,21749,,34579,,4461,,30118,,63,
AL,Alabama,202404,O,125138,,81573,,53742,,27490,,26252,,26280,,2916,,23364,,1551,
AL,Alabama,202404,U,,,81573,,54666,,27490,,27176,,26879,,3208,,23671,,28,
AL,Alabama,202405,O,126195,,73603,,43389,,31057,,12332,,28914,,2714,,26200,,1300,
AL,Alabama,202405,U,,,73603,,44178,,31057,,13121,,29399,,2941,,26458,,26,
AL,Alabama,202406,O,117827,,125138,,89607,,53604,,36003,,33106,,11451,,21655,,2425,
AL,Alabama,202406,U,,,125138,,90981,,53604,,37377,,34146,,12006,,22140,,11,
AL,Alabama,202407,O,121479,,126166,,89257,,48798,,40459,,34150,,12873,,21277,,2759,
AL,Alabama,202407,U,,,126166,,90839,,48798,,42041,,35327,,13450,,21877,,0,
AL,Alabama,202408,O,121260,,117884,,83594,,43030,,40564,,31807,,11632,,20175,,2483,
AL,Alabama,202408,U,,,117884,,84961,,43030,,41931,,32918,,12230,,20688,,5,
AL,Alabama,202409,O,115205,,119706,,85017,,45506,,39511,,32163,,13769,,18394,,2526,
AL,Alabama,202409,U,,,119706,,86492,,45506,,40986,,33202,,14338,,18864,,12,
AL,Alabama,202410,O,133479,,121260,,84090,,45168,,38922,,34796,,11242,,23554,,2374,
AL,Alabama,202410,U,,,121260,,85380,,45168,,40212,,35875,,11808,,24067,,5,
AL,Alabama,202411,O,118070,,115205,,78494,,38528,,39966,,34512,,11133,,23379,,2199,
AL,Alabama,202411,U,,,115205,,79759,,38528,,41231,,35434,,11478,,23956,,12,
AL,Alabama,202412,O,120009,,133479,,91655,,50241,,41414,,39824,,16403,,23421,,2000,
AL,Alabama,202412,U,,,133479,,92711,,50241,,42470,,40768,,16866,,23902,,0,
AL,Alabama,202501,O,172855,,118070,,80916,,43184,,37732,,34680,,14416,,20264,,2474,
AL,Alabama,202501,U,,,118070,,82808,,43184,,39624,,35262,,14702,,20560,,0,
AL,Alabama,202502,O,109305,,120009,,82543,,37747,,44796,,34682,,14245,,20437,,2784,
AL,Alabama,202502,U,,,120009,,83575,,37747,,45828,,36434,,14836,,21598,,0,
AL,Alabama,202503,O,147477,,172855,,124739,,37535,,87204,,43277,,17250,,26027,,4839,
AL,Alabama,202503,U,,,172855,,127482,,37535,,89947,,45373,,18398,,26975,,0,
AL,Alabama,202504,O,107356,,109305,,76065,,39628,,36437,,31220,,18297,,12923,,2020,
AL,Alabama,202504,U,,,109305,,77045,,39628,,37417,,32260,,19051,,13209,,0,
AL,Alabama,202505,O,120819,,147477,,105853,,37957,,67896,,37845,,22228,,15617,,3779,
AL,Alabama,202505,U,,,147477,,107961,,37957,,70004,,39516,,23162,,16354,,0,
AL,Alabama,202506,O,110647,,107356,,74940,,38735,,36205,,30680,,18201,,12479,,1736,
AL,Alabama,202506,U,,,107356,,75867,,38735,,37132,,31489,,18848,,12641,,0,
AL,Alabama,202507,O,106479,,120819,,86842,,45342,,41500,,31981,,20035,,11946,,1996,
AL,Alabama,202507,U,,,120819,,87916,,45342,,42574,,32903,,20736,,12167,,0,
AL,Alabama,202508,O,100725,,110647,,79906,,43661,,36245,,28977,,18738,,10239,,1764,
AL,Alabama,202509,O,96927,,106479,,77560,,42363,,35197,,27358,,18154,,9204,,1561,
AL,Alabama,202510,O,112157,,100725,,73386,,40942,,32444,,25807,,17529,,8278,,1532,
AL,Alabama,202511,O,99220,,96927,,69490,,38805,,30685,,25924,,17295,,8629,,1513,
AR,Arkansas,202303,O,81174,,,,,,,,,,,,,,,,,
AR,Arkansas,202303,U,,,,,,,,,,,,,,,,,,
AR,Arkansas,202304,O,126978,,137679,,61236,,45975,,15261,,62711,,7223,,55488,,13732,
AR,Arkansas,202304,U,,,135399,"Updated Renewal Outcomes May Include Eligibility Actions That Occurred After the Renewal was Processed (e.g., Outcomes Based on a Change in Circumstance or for Individuals Who Returned the Renewal During the Reconsideration Period)",64422,"Updated Renewal Outcomes May Include Eligibility Actions That Occurred After the Renewal was Processed (e.g., Outcomes Based on a Change in Circumstance or for Individuals Who Returned the Renewal During the Reconsideration Period)",47118,"Updated Renewal Outcomes May Include Eligibility Actions That Occurred After the Renewal was Processed (e.g., Outcomes Based on a Change in Circumstance or for Individuals Who Returned the Renewal During the Reconsideration Period)",17304,"Updated Renewal Outcomes May Include Eligibility Actions That Occurred After the Renewal was Processed (e.g., Outcomes Based on a Change in Circumstance or for Individuals Who Returned the Renewal During the Reconsideration Period)",68900,"Updated Renewal Outcomes May Include Eligibility Actions That Occurred After the Renewal was Processed (e.g., Outcomes Based on a Change in Circumstance or for Individuals Who Returned the Renewal During the Reconsideration Period)",9193,"Updated Renewal Outcomes May Include Eligibility Actions That Occurred After the Renewal was Processed (e.g., Outcomes Based on a Change in Circumstance or for Individuals Who Returned the Renewal During the Reconsideration Period)",59707,"Updated Renewal Outcomes May Include Eligibility Actions That Occurred After the Renewal was Processed (e.g., Outcomes Based on a Change in Circumstance or for Individuals Who Returned the Renewal During the Reconsideration Period)",2077,"Updated Renewal Outcomes May Include Eligibility Actions That Occurred After the Renewal was Processed (e.g., Outcomes Based on a Change in Circumstance or for Individuals Who Returned the Renewal During the Reconsideration Period)"
AR,Arkansas,202305,O,125978,,99266,,39848,,29432,,10416,,47725,,12878,,34847,,11693,
AR,Arkansas,202305,U,,,99266,,46188,,29432,,16756,,51428,,14234,,37194,,1650,
AR,Arkansas,202306,O,98920,,128604,,50366,,33845,,16521,,60589,State Held Some or All Procedural and/or Other Terminations for the Report Month,15216,,45373,State Held Some or All Procedural and/or Other Terminations for the Report Month,17649,
AR,Arkansas,202306,U,,,128604,,59495,,33845,,25650,,65554,,17561,,47993,,3555,
AR,Arkansas,202307,O,77656,,127233,,50609,,36466,,14143,,61116,State Held Some or All Procedural and/or Other Terminations for the Report Month,18781,,42335,State Held Some or All Procedural and/or Other Terminations for the Report Month,15508,
AR,Arkansas,202307,U,,,127233,,59403,,36466,,22937,,67196,,20898,,46298,,634,
AR,Arkansas,202308,O,39339,,94593,,50662,,32357,,18305,,31778,,7018,,24760,,12153,
AR,Arkansas,202308,U,,,94593,,57906,,32357,,25549,,35287,,8083,,27204,,1400,
AR,Arkansas,202309,O,33602,,83078,,45536,,27349,,18187,,29583,,6581,,23002,,7959,
AR,Arkansas,202309,U,,,83078,,49477,,27349,,22128,,31773,,7103,,24670,,1828,
AR,Arkansas,202310,O,43797,,38547,,30414,,24170,,6244,,5734,,1264,,4470,,2399,
AR,Arkansas,202310,U,,,38547,,31305,,24170,,7135,,6745,,1320,,5425,,497,
AR,Arkansas,202311,O,40502,,33185,,27703,,23252,,4451,,3800,,864,,2936,,1682,
AR,Arkansas,202311,U,,,33185,,28710,,23252,,5458,,4164,,944,,3220,,311,
AR,Arkansas,202312,O,41433,,43579,,37454,,33613,,3841,,4599,,1009,,3590,,1526,
AR,Arkansas,202312,U,,,43579,,38394,,33613,,4781,,5052,,1110,,3942,,133,
AR,Arkansas,202401,O,40780,,40089,,35865,,33075,,2790,,3255,,593,,2662,,969,
AR,Arkansas,202401,U,,,40089,,36440,,33075,,3365,,3472,,638,,2834,,177,
AR,Arkansas,202402,O,52452,,40726,,36002,,31864,,4138,,4193,,930,,3263,,531,
AR,Arkansas,202402,U,,,40726,,36335,,31864,,4471,,4296,,962,,3334,,95,
AR,Arkansas,202403,O,56404,,39590,,31643,,25544,,6099,,7365,,2265,,5100,,582,
AR,Arkansas,202403,U,,,39590,,31945,,25544,,6401,,7495,,2285,,5210,,150,
AR,Arkansas,202404,O,50063,,45736,,37942,,32352,,5590,,7312,,1761,,5551,,482,
AR,Arkansas,202404,U,,,45736,,38251,,32352,,5899,,7401,,1788,,5613,,84,
AR,Arkansas,202405,O,60711,,40726,,36335,,31864,,4471,,4296,,962,,3334,,95,
AR,Arkansas,202405,U,,,49827,,41166,,34919,,6247,,8612,,2005,,6607,,49,
AR,Arkansas,202406,O,60997,,49980,,41666,,34666,,7000,,7403,,2024,,5379,,911,
AR,Arkansas,202406,U,,,49980,,42297,,34666,,7631,,7557,,2058,,5499,,126,
AR,Arkansas,202407,O,53588,,55130,,44979,,35900,,9079,,9214,,1884,,7330,,937,
AR,Arkansas,202407,U,,,55130,,45584,,35900,,9684,,9375,,1924,,7451,,171,
AR,Arkansas,202408,O,56471,,55168,,44422,,33109,,11313,,9281,,2177,,7104,,1465,
AR,Arkansas,202408,U,,,55168,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,45277,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,33109,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,12168,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,9720,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,2316,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,7404,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period,171,Updated Renewal Outcomes Reported as of a Different Date Than Three Months After the End of the Original Reporting Period
AR,Arkansas,202409,O,50242,,59599,,49296,,38270,,11026,,9087,,2259,,6828,,1216,
AR,Arkansas,202409,U,,,59599,,50103,,38270,,11833,,9461,,2617,,6844,,35,
AR,Arkansas,202410,O,48675,,60654,,50817,,41766,,9051,,8525,,3580,,4945,,1312,
AR,Arkansas,202410,U,,,60654,,51704,,41766,,9938,,8909,,3951,,4958,,41,
AR,Arkansas,202411,O,50079,,52669,,42716,,36604,,6112,,8801,,5102,,3699,,1152,
