State,Notes,Total Medicaid Enrollees,Comprehensive MCO with or without MLTSS,PCCM,MLTSS only,BHO (PIHP and/or PAHP),Dental,Transportation,PACE,Other,Year,PCCM Entity
Georgia8,"Georgia is unable to provide separate counts of managed care and fee-for-service beneficiaires for their NEMT program (which uses both payment models). As a result, enrollment counts presented in this table include enrollees in both managed care and FFS.","2,074,310","1,445,804",-- ,-- ,-- ,-- ,"1,623,252",-- ,"39,446",2018,-- 
Guam,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018,n/a
Hawaii9," Hawaii's enrollment in comprehensive MCOs includes 4,470 beneficiaries who enrolled in an MCO plus Ohana Community Care Service for behavioral health services.","355,873","351,685",-- ,-- ,-- ,-- ,-- ,-- ,--,2018,-- 
Idaho,,"300,252","3,799","254,791",-- ,"269,240","272,979","272,979",-- ,--,2018,-- 
Illinois,,"3,110,093","2,145,760",-- ,"31,143",-- ,-- ,-- ,-- ,--,2018,-- 
Indiana,,"1,457,544","1,126,133",-- ,-- ,-- ,-- ,-- ,292,--,2018,-- 
Iowa,,"626,011","564,492",-- ,-- ,-- ,"302,681","15,581",434,--,2018,-- 
Kansas,,"417,140","357,683",-- ,-- ,-- ,-- ,--,542,--,2018,-- 
Kentucky,,"1,385,239","1,259,525",-- ,-- ,-- ,-- ,"1,232,903",-- ,--,2018,-- 
Louisiana,,"1,640,075","1,384,784",-- ,-- ,"118,107","1,503,192",-- ,458,--,2018,-- 
Maine,,"270,243",-- ,"141,777",-- ,-- ,-- ,"234,327",-- ,--,2018,-- 
Maryland,,"1,401,781","1,169,603",-- ,-- ,-- ,-- ,-- ,105,--,2018,-- 
Massachusetts,,"1,865,755","746,051","119,512",-- ,"528,106",-- ,-- ,"4,522",--,2018,"339,350"
Michigan10,"10. Michigan has two programs that provide HCBS waiver services under capitation: MI Choice and the Specialty Prepaid Inpatient Health Plan (SPIHP). In this table, MI Choice is reported as an MLTSS program and SPIHP is reported as a BHO. In Table 6, both programs are considered in the count of LTSS users. ","4,623,834","2,377,009",-- ,"11,295","2,276,353","969,152",-- ,"2,545",--,2018,-- 
Minnesota,,"1,122,672","892,137",-- ,-- ,-- ,-- ,-- ,-- ,--,2018,-- 
Mississippi,,"683,577","441,782",-- ,-- ,-- ,-- ,-- ,-- ,--,2018,-- 
Missouri,,"971,143","712,335",-- ,-- ,-- ,-- ,"242,268",-- ,--,2018,-- 
Montana,,"291,890",-- ,"215,475",-- ,-- ,-- ,-- ,-- ,--,2018,-- 
Nebraska,,"250,056","248,832",-- ,-- ,-- ,"247,580",-- ,190,--,2018,-- 
Nevada,,"666,561","457,782",-- ,-- ,-- ,"457,782","588,111",-- ,--,2018,-- 
New Hampshire,,"200,850","133,829",-- ,-- ,-- ,-- ,-- ,-- ,--,2018,-- 
New Jersey,,"1,668,451","1,568,277",-- ,-- ,-- ,-- ,"1,561,266","1,067",--,2018,-- 
New Mexico,,"842,138","665,250",-- ,-- ,-- ,-- ,-- ,800,--,2018,-- 
New York,,"6,153,799","4,547,299",-- ,"211,268",-- ,-- ,-- ,"5,694",--,2018,-- 
North Carolina,,"2,178,225",-- ,-- ,-- ,"1,578,977",-- ,-- ,"2,112",--,2018,"1,493,347"
North Dakota,,"93,042","19,515","48,957",-- ,-- ,-- ,-- ,181,0,2018,-- 
Northern Mariana Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018,n/a
Ohio,,"2,915,546","2,449,577",-- ,-- ,-- ,-- ,-- ,454,--,2018,-- 
Oklahoma,,"880,954",-- ,"648,557",-- ,-- ,-- ,"648,557",466,--,2018,-- 
Oregon11,"Oregon’s enrollment in comprehensive MCOs includes beneficiaries in (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), or (3) a Mental Health Organization. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously. Plan-level enrollment is found in Report 5. ","1,062,787","847,570",-- ,-- ,-- ,-- ,-- ,"1,392",--,2018,-- 
Pennsylvania,,"2,897,085","2,352,627",-- ,-- ,"896,466",-- ,"622,053","6,650",151,2018,-- 
Puerto Rico,,"1,505,610","1,505,610",-- ,-- ,-- ,-- ,-- ,-- ,--,2018,-- 
Rhode Island,,"313,095","247,983",-- ,-- ,-- ,"111,315","267,396",295,--,2018,-- 
South Carolina,,"1,195,703","745,469",558,-- ,-- ,-- ,"1,195,703",442,--,2018,-- 
South Dakota,,"123,890",-- ,"92,184",-- ,-- ,-- ,-- ,-- ,--,2018,-- 
Tennessee12,"Tennessee’s enrollment in comprehensive MCOs includes 1,241,360 beneficiaries who are also enrolled in an MCO plus Magellan Health Services for pharmacy benefits and 802,783 beneficiaries who are also enrolled in an MCO plus DentaQuest USA Insurance Company for dental services.","1,510,045","1,386,383",-- ,-- ,-- ,-- ,-- ,281,--,2018,-- 
Texas,,"3,981,912","3,694,211",-- ,-- ,-- ,"2,879,944","3,844,572","1,215",--,2018,-- 
Utah,,"275,511","226,893",-- ,-- ,"268,452","125,198","231,531",-- ,--,2018,-- 
Vermont,,"174,682","123,310",-- ,-- ,-- ,-- ,-- ,-- ,--,2018,-- 
Virgin Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018,n/a
Virginia,,"1,063,122","872,408",-- ,-- ,-- ,-- ,-- ,"2,943",--,2018,-- 
Washington,,"1,781,048","1,573,493","5,186",-- ,"1,781,048",-- ,"1,781,048",670,--,2018,-- 
West Virginia,,"505,528","407,193",-- ,-- ,-- ,-- ,-- ,-- ,--,2018,-- 
Wisconsin,,"1,197,453","758,442",-- ,"48,568","1,196",-- ,-- ,573,"3,141",2018,-- 
Wyoming,,"58,390",-- ,-- ,-- ,-- ,-- ,-- ,136,0,2018,--
TOTALS,,"78,737,936","55,157,090","2,612,803","552,658","9,262,546","10,398,696","13,508,968","51,654","99,035",2019,"2,994,995"
Alabama4,"Beneficiaries can simultaneously enroll in Alabama's two PCCM programs: Patient 1st and Health Homes. Total PCCM enrollment is 1,062,265, and the de-duplicated enrollment is 809,137. ","1,039,621",--,"809,137",--,--,--,--,173,"32,463",2019,"28,018"
Alaska5,"Alaska's Total Medicaid Enrollment as of July 1, 2019 was taken from the Medicaid Budget and Expenditure System, accessed June 16, 2021: https://data.medicaid.gov/Enrollment/State-Medicaid-and-CHIP-Applications-Eligibility-D/n5ce-jxme","207,174",--,--,--,--,--,--,--,--,2019,--
American Samoa,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2019,n/a
Arizona,,"1,874,857","1,580,628",--,--,--,--,--,--,--,2019,--
Arkansas,,"951,645","45,236","416,811",--,--,"581,778","663,301",364,--,2019,--
California,,"12,780,305","10,385,180",--,--,26,"800,356",--,"8,946",595,2019,--
Colorado6,"Colorado reported plan level enrollment as 0 for plans that had less than 30 beneficiaries. As a result, reported program-level enrollment may be lower than actual enrollment.","1,231,952","112,938",--,--,--,--,--,"4,333",--,2019,"1,019,506"
Connecticut7,"Connecticut's Total Medicaid Enrollment as of July 1, 2019 was taken from the Medicaid Budget and Expenditure System, accessed June 16, 2021: https://data.medicaid.gov/Enrollment/State-Medicaid-and-CHIP-Applications-Eligibility-D/n5ce-jxme","837,367",--,--,--,--,--,--,--,--,2019,--
Delaware,,"237,244","199,724",--,--,--,--,"208,650",261,--,2019,--
District of Columbia,,"267,329","194,136",--,--,--,--,"54,983",--,--,2019,--
Florida,,"3,813,067","2,967,589",--,"200,320",--,"3,095,204",--,"2,049",--,2019,--
Georgia8,"Georgia did not monitor NEMT program enrollment in 2019, so total enrollment in transportation programs is reported here as zero.","1,917,560","1,418,039",--,--,--,--,0,--,"48,261",2019,--
Guam,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2019,n/a
Hawaii9,"Hawaii's enrollment in comprehensive MCOs includes 4,463 beneficiaries who enrolled in an MCO plus Ohana Community Care Service for behavioral health services. ","327,893","327,762",--,--,--,--,--,--,--,2019,--
Idaho,,"291,466","12,230","247,524",--,"264,723","289,155","289,155",--,--,2019,--
Illinois,,"3,001,288","2,122,611",--,"52,450",--,--,--,--,--,2019,--
Indiana,,"1,462,152","1,074,346",--,--,--,--,--,402,--,2019,--
Iowa,,"642,329","602,684",--,--,--,"390,041","9,951",562,--,2019,--
Kansas,,"398,034","341,297",--,--,--,--,--,582,--,2019,--
Kentucky,,"1,353,368","1,224,145",--,--,--,--,"1,201,648",--,--,2019,--
Louisiana,,"1,622,025","1,356,398",--,--,"132,951","1,499,473",--,476,--,2019,--
Maine,,"258,581",--,"155,099",--,--,--,"242,488",--,--,2019,--
Maryland,,"1,457,966","1,190,456",--,--,--,--,--,103,--,2019,--
Massachusetts,,"1,829,245","726,804","106,929",--,"530,032",--,--,"4,884",--,2019,"356,253"
Michigan10,"Michigan has two programs that provide HCBS waiver services under capitation: MI Choice and the Specialty Prepaid Inpatient Health Plan (SPIHP). In this table, MI Choice is reported as an MLTSS program and SPIHP is reported as a BHO. In Table 6, both programs are considered in the count of LTSS users. ","4,713,103","2,443,239",--,"11,425","2,204,802","975,356",--,"3,169",--,2019,--
Minnesota,,"1,085,204","849,507",--,--,--,--,--,--,--,2019,--
Mississippi,,"673,247","436,028",--,--,--,--,--,--,--,2019,--
Missouri,,"858,077","596,646",--,--,--,--,"244,232",--,--,2019,--
Montana,,"254,273",--,"207,316",--,--,--,--,--,--,2019,--
Nebraska,,"248,377","247,285",--,--,--,"246,055",--,205,--,2019,--
Nevada,,"654,497","498,872",--,--,--,"498,872","575,184",--,--,2019,--
New Hampshire,,"193,363","173,073",--,--,--,--,--,--,--,2019,--
New Jersey,,"1,612,863","1,498,187",--,--,--,--,"1,486,074","1,152",--,2019,--
New Mexico,,"832,295","667,641",--,--,--,--,--,794,--,2019,--
New York,,"6,140,117","4,460,781",--,"238,684",--,--,--,"5,759",--,2019,--
North Carolina,,"2,173,625",--,--,--,"1,542,689",--,--,"2,310",--,2019,"1,591,218"
North Dakota,,"88,829","19,692","45,939",--,--,--,--,180,--,2019,--
Northern Mariana Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2019,n/a
Ohio,,"2,823,271","2,371,042",--,--,--,--,--,543,--,2019,--
